sensor_1,1611199979506,84.59
sensor_4,1611199980067,67.83
sensor_5,1611199981029,40.32
sensor_2,1611199980409,31.07
sensor_3,1611199979771,57.89
sensor_8,1611199981121,59.82
sensor_9,1611199979568,94.12
sensor_6,1611199980147,36.79
sensor_7,1611199980087,60.99
sensor_10,1611199981032,80.94
sensor_1,1611199980748,80.05
sensor_4,1611199981591,74.39
sensor_5,1611199982025,42.85
sensor_2,1611199981527,31.94
sensor_3,1611199980245,57.56
sensor_8,1611199982847,60.57
sensor_9,1611199980581,96.56
sensor_6,1611199981837,32.93
sensor_7,1611199981887,64.01
sensor_10,1611199982168,83.7
sensor_1,1611199981585,81.85
sensor_4,1611199983013,74.96
sensor_5,1611199982987,42.92
sensor_2,1611199983312,27.49
sensor_3,1611199980529,47.46
sensor_8,1611199983297,55.45
sensor_9,1611199982179,99.84
sensor_6,1611199983129,26.76
sensor_7,1611199982898,62.44
sensor_10,1611199982276,78.76
sensor_1,1611199982418,81.67
sensor_4,1611199984524,76.55
sensor_5,1611199983257,35.69
sensor_2,1611199984108,26.4
sensor_3,1611199981466,50.58
sensor_8,1611199984220,55.28
sensor_9,1611199982259,91.68
sensor_6,1611199983379,23.4
sensor_7,1611199983506,63.32
sensor_10,1611199983991,84.77
sensor_1,1611199984202,82.19
sensor_4,1611199986068,77.93
sensor_5,1611199984509,42.67
sensor_2,1611199984687,23.93
sensor_3,1611199982305,50.03
sensor_8,1611199985663,53.59
sensor_9,1611199983756,86.89
sensor_6,1611199985307,27.18
sensor_7,1611199985117,60.18
sensor_10,1611199985285,80.74
sensor_1,1611199984740,87.46
sensor_4,1611199987946,78.84
sensor_5,1611199984698,45.33
sensor_2,1611199985907,22.97
sensor_3,1611199984114,49.08
sensor_8,1611199986014,53.0
sensor_9,1611199984265,88.06
sensor_6,1611199985649,23.95
sensor_7,1611199985399,59.26
sensor_10,1611199985474,83.71
sensor_1,1611199986369,92.91
sensor_4,1611199988523,75.7
sensor_5,1611199985516,52.11
sensor_2,1611199986289,29.94
sensor_3,1611199984174,40.32
sensor_8,1611199987623,57.24
sensor_9,1611199984974,89.15
sensor_6,1611199986104,29.89
sensor_7,1611199986597,60.64
sensor_10,1611199986536,73.0
sensor_1,1611199987028,96.79
sensor_4,1611199989969,69.7
sensor_5,1611199986534,57.94
sensor_2,1611199987543,33.94
sensor_3,1611199985810,43.38
sensor_8,1611199988131,56.59
sensor_9,1611199986595,92.51
sensor_6,1611199987856,30.88
sensor_7,1611199987788,59.74
sensor_10,1611199986786,67.23
sensor_1,1611199987602,95.55
sensor_4,1611199989993,78.83
sensor_5,1611199987969,55.31
sensor_2,1611199988732,33.5
sensor_3,1611199987269,48.33
sensor_8,1611199989802,54.92
sensor_9,1611199987972,98.75
sensor_6,1611199988272,36.62
sensor_7,1611199988918,69.36
sensor_10,1611199987936,67.96
sensor_1,1611199989563,90.92
sensor_4,1611199990123,80.95
sensor_5,1611199989847,58.6
sensor_2,1611199989594,31.64
sensor_3,1611199987749,49.24
sensor_8,1611199990396,56.23
sensor_9,1611199989173,101.36
sensor_6,1611199989524,41.04
sensor_7,1611199990580,65.34
sensor_10,1611199988118,66.96
